studentId,kuSubjectId
60…1;,01417167/01417267/02204231/02204311
60…10;,01420112
60…22;,01417168
60…28;,01420112
60…29;,01417167/01417168/01417167/02204121
60…3;,01417167/02204171/01420111/01417267/01420112/02204311/02204495
60…34;,01420112
60…36;,01417168/01420112/01417267
60…42;,02204471
60…43;,01420112
60…44;,02204171/01420113/01420111/01417167
60…45;,01420111/02204172/01417167/01420111/02204231
60…46;,01420112/01417168/02204231/01417168
60…47;,02204122/02204111/01417168/01420111/02204121/01420111/02204171
60…48;,01420112/02204231/01417267/02204231/02204361
60…49;,01420111/01417168/01420111/02204231/02204231/02204311/02204499
60…5;,01420112
60…50;,01417167/02204171/02204171/02204223/01417167/02204351/02204223/01417167/02204372/02204171
60…51;,01420111/02204172/01417167/01420111/02204231/01420112/02204231
60…52;,01417167/01420111/01420111/02204172/02204223/01420111/02204231/01417168/02204272/02204231/02204311/02204451/02204495/02204361/02204311
60…53;,01420111/01417167/02204172/01420111/01417167/01417167/01420111/02204231/02204223/01417167/01420111/02204231/01417167/02204351/01417168/02204451/02204472
60…54;,01417167/02204172/01417167/01420111/02204231/01420111/01417167/01420111/01420111/02204231
60…55;,01417167/02204231/02204311
60…56;,01417167/02204171/01420111/02204231/02204223/02204311/02204223/01420111
60…57;,01420111/02204171/01420111/02204172/02204231/01417168/02204272/02204221/02204372/02206111/02204231
60…58;,02204171/01420111/01420113/01417167
60…59;,02204172
60…60;,01420111/01417167/02204171
60…61;,01420111/01417167/01417167/02204172/02204272/02204231/01417167/02204232/02204351/02204311/02204361/02204351/02204311/02204481/02204495
60…62;,02204231
60…63;,01417167/01417167/01420111/01417167/02204221/01417167/01403117/02204231
60…64;,02204172/01420111/01420111/01417168/02204231
60…65;,02204121/01417167/02204171/01420111/02204231/01417168/02204223/02204231/02206111/01420111/02204271/02204351/02204232/02204271/02204361/02206111/02204472/02204371/02204232/02204371/02206111/02206111/02206111
60…66;,01417167/01420111/02204231
60…67;,01420111/02204171/01417167/01420111/02204111/01417167/01403117/02204223/02204172/01417168/02204231/01420111/02204172/01417168/02204231/01420111/02204172/02204361/01417168
60…68;,01420112/01417167
60…69;,02204171/01417167/01420111
60…7;,01417168/01420112/01417267/01417267/02204231
60…70;,01420112/02204171/01417167/02204172/02204272/02204311
60…71;,02204231
60…72;,01417168/01420111/01420111/01403117/02204271/02204231/01403114
60…73;,01420112/02204171/02204231/02204172/02204231/02204311
60…74;,01417168/01420112
60…75;,01420111/01417168/02204272/01417267
60…77;,01417167/02204172/01420111/01420111/02204172/01417168/02204272/02204231/02204232/02204351/02204311/02204271/02204311/02204495
60…78;,01420111/02204171/01417167/01420111/01417167/02204231/01417167/02204221/01417167/01403117/02204231/01417167/02204351
60…79;,01420111/01420111/01417167/02204172/02204223/02204172/02204231/02204351/01420111/02204231/01417168/02204231/02204481/02204361/02204271/02204361/02204271/02204231/02204271/02204361/02204271
60…8;,01420111/01417168/01420111
60…80;,01420111/01417167/02204171/01420111/02204223/02204172/01417168/02204231/01420111/02204232/02204361/02204271
60…81;,02204172/01417167/02204221/02204231/01403117/02204231/01417168/02204271/02204351/02204223/02204271/01420111/02204231/01417168/02204481/02204495
60…83;,02204171/01417167/02204231/01417168/02204311/02204231/02204499
60…84;,01417168/02204172
60…85;,01420111/02204171/01417167/01417167/01417167/02204172/02204221/02204231/02204351/02204223/02204231/02204222/02206111/02204231/02204433/02204271
60…86;,02204171/01417167/02204111/01420111/01417167/01420111/02204121/01417167
60…87;,02204111/01417167/02204171/01417167
61…101;,01420111/01417167/02204171/02204231/02204223/02204271/02204231/02204499
61…102;,01420111/01417167/02204172/02204223/01417168/02204231/02204499
61…103;,01420111/01417167/02204172/02204231/02204232/02204495
61…104;,02204171/01420111/01417167/01420113
61…105;,01417167/01420111/01417167/02204172/02204223/02204451/02204499
61…106;,02204172/01417168/01417267/02204231/02204271/02204451/02204232/02204495/02204271/02204495
61…108;,02204172/01417167/01417267
61…109;,01417167/01417167/02204172/01420111/02204231/01417167/02204232/02204499
61…111;,02204172/01417167/02204232/02204271/02204495/02204495
61…112;,02204172
61…113;,01417167/01420111/02204171/02204231/02204361
61…114;,01420112/01417267/02204432
61…115;,02204172/01420111/01417168/02204231/02204361
61…116;,01417167/01420111/01420113/02204171
61…117;,02204172/01417167/01420111/02204223/02204231/02204271/02204232
61…120;,01417168/01420112
61…121;,01420111/01417168/02204231/01417267
61…122;,01420112/01417267
61…124;,01420111/01417168/02204223/01417267/02204231/01417267/02204232/02204311
61…125;,02204172/01417167/01420111/02204223/02204231/02204271/02204351/02204232/02204495
61…127;,02204172/02204231
61…128;,01420112
61…129;,01420112/01417267/02204432
61…130;,01417167/01420111/01417267/02204231
61…132;,01420111/01417167/01417167/02204223/02204311
61…133;,01420111/01417168/01420111/01417168/02204231/02204231/02204495/02204495/02204361/02204361/02204361
61…134;,01417167/02204172/01417267/02204223/02204231/01417267
61…135;,02204111/01417167/02204171/01420111/01417167/02204223/02204171/02204111/02204171/02204232/02204499/02204499/02204361
61…136;,01420111/02204172/02204231/02204223/02204495
61…137;,01420112/01417267
61…139;,01420111/02204231
61…140;,01417167/02204111/02204171/01417167/02204121/01420111/02204122
61…141;,02204172/01420111/01417168/02204231
61…143;,02204172/01420111/01417167/01417167/01417167/02204231/01417168/02204231/01417168/02204271/02204499
61…144;,01417167/02204171/01417167/01420111/01403117/02204221/01417167/02204231/02204221/02204231/02204351/02204231/02204495/02204221/02204221/02204361
61…145;,01417167/01420111/02204172/01417167/02204231/02204221/01417167/01417167/01208111/02204221/01420111/02204271/02204231/02204271/02204231/02204221/02204361/02204221/02204271
61…146;,01420111/01417167/02204172/01417167/02204231/02204223
61…88;,02204172/01417167/01417167/01420111/01417167/02204223/02204231/01417167/02204232
61…90;,01417167/01420111/02204172/02204231/02204223
61…91;,01417167/02204172/02204231/02204232/02204499/02204452
61…92;,01420112/02204231/02204351
61…93;,02204111/01420111/01417167/01417167/02204171/02204221/01417167/02204111/02204271/02204231/02204221/02204499/02204221/02204223/02204361/02204361
61…94;,02204171/01417168/01420111/02204223/02204231/02204231/02204495/02204361/02204462/02204495
61…95;,01417267
61…96;,01420111/02204231/01417267
61…97;,02204172
61…98;,02204172/01420111/02204223/01417267
61…99;,01420114/02204111/01417168/01420112/02204172
62…147;,02204171/02204232/02204497/02204271/02204321/02204361/02204271/02204495/02204232/02204497
62…149;,01417167/01420111/01417168/02204223
62…152;,02204171/02204172
62…154;,01417167/01420111/02204171/02204221/02204171
62…155;,02204281/02204223/02204232/02204311/02204381
62…156;,02204171/01420112/02204499
62…158;,01417168/01420111/02204231
62…159;,01417267
62…160;,01417267/02204451
62…162;,02204451
62…163;,01420113/01420111/01417167/01420111
62…164;,01420111/01417168/02204232
62…165;,01417167/01420111
62…166;,01420111/01417167/02204223/02204451
62…169;,01417168/02204223
62…170;,01417167/01420111/02204232/01403117
62…171;,01417167/02204451/02204361
62…172;,01417167/01420111/02204171
62…173;,01420111/01417167/01417168/02204231
62…175;,01417167/02204221/02204451
62…176;,01417167/02204111/02204171/01420111/02204171/01403117/02204221/02204231/02204172/02204351/02204221/02204351/02204381/02204221/01417267/02204231/01417267
62…177;,02204171/01420111/01417168/02204172/01417267/02204361/02204271
62…180;,01420111/01417168/02204231/02204271
62…182;,01420111/01420113/02204171/01417167
62…183;,01417168/02204271/02204232/02204311/02204499
62…184;,02204451
62…185;,01417167/01420111/01417167
62…186;,02204111/01417167/01420111/01417167/02204271/02204221/02204231/01403117/01417167/01420111/01403117/01417167/02204271/02204221/02204231/01403117/01417167
62…187;,01417267/02204451
62…188;,01417267/02204451
62…189;,01417168/02204231/02204231/01417267/01417267/02204499
62…190;,01417267/02204451
62…191;,01420112
62…192;,01417267/02204451
62…193;,01417167/02204451
62…194;,01417267/02204451
62…195;,02204451
62…196;,01417168/01417168
62…197;,01420111/01417167/02204231/01417167/02204221/02204221/01417168/02204232/02204497/02206111/02204351/02204361/02204351/02204221/01417168
62…198;,02204223/02204462
62…199;,01417267/02204451
62…200;,01417167
62…201;,02204171/01417167/01420111/02204111/02204221/02204172/02204351/02204172/01417168/02204281/02204451/02204433/02204221/01417267/02204231/02204351/01417267
62…202;,01417267/02204451
62…203;,02204271/02204231
62…204;,01417167/02204221/01417168
62…205;,01417167/02204171/01420111/01420113
62…206;,02204281/02204481
62…207;,01417167/01417167/02204321/02204361/01417168/02204223
62…208;,02204451/02204499
62…210;,01417168/01417168/01417267
62…211;,01420111/01417267
62…212;,01417267
62…213;,01417167/02204451
63…215;,02204281/02204221/02204241/02204371/02204497/02206111/02204361/02204321/02204281/02204361/02204321/02204351/02204462
63…216;,02204172/01417167/02204221/02204271/02204221/01417168/01417168/02204221
63…218;,02204172
63…219;,02204172
63…220;,02204172/02204221/02204223
63…221;,02204172
63…224;,02204231/02204221/02204221/02204451
63…225;,02204171/01417167
63…226;,01417167/02204221/01417168/02204223/02204311
63…227;,01417167/01420111/02204223/01417168/02204311
63…228;,02204172/01417167/02204311/02204351/02204381
63…229;,02204172/01417167
63…230;,02204172/02204231/02204221/02204281
63…231;,01417167/02204221/02204231/02204271/02204351/01417168/02204231/02204271/02204221/02204361
63…232;,02204172
63…233;,02204121/02204111/02204172/01417168
63…235;,01417168/02204221
63…236;,02204111/01417168/02204223/02204271/01403114/02204281/02204361
63…237;,01420111/01417167
63…240;,02204221
63…241;,02204172
63…242;,01417267/01403114/02204221/01403117/02204361/02204311/02204351/02204495
63…243;,02204311/02204351
63…246;,02204172
63…248;,02204121/01417167/02204281/02204232/02204121/02204223
63…252;,02204172/02204271/02204361/02204361
63…255;,02204431
63…256;,02204172
63…262;,01417167/02204121/02204171
63…265;,02204221/02204311/02204351/02204223
63…267;,02204172
63…269;,01417167/02204172/02204111
63…271;,01417167
63…272;,02204172
64…274;,01417267
64…275;,01417267
64…276;,01417267/01417267
64…278;,01417267
64…279;,01417267
64…280;,01420111/02204171/01417167/02204171/01403117/02204221
64…281;,01417267
64…282;,01417267
64…283;,01417267
