STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
61…88,001200101,C,3,700,A,63,1
61…88,002204381,C,1,711,B,63,1
61…88,002204351,C,3,700,C,63,1
61…88,002204231,C,3,701,C,63,1
61…88,001355209,C,3,700,D,63,1
61…88,002204321,C,3,700,D+,63,1
61…88,002204271,C,3,701,D+,63,1
61…88,001417167,C,3,701,W,63,1
61…89,002204321,C,3,700,A,63,1
61…89,002204224,C,1,711,A,63,1
61…89,002204351,C,3,700,A,63,1
61…89,002204381,C,1,712,A,63,1
61…89,001200101,C,3,700,A,63,1
61…89,001355209,C,3,700,B,63,1
61…89,002204361,C,3,700,B,63,1
61…89,002204311,C,3,700,B+,63,1
61…90,003751111,C,3,700,A,63,1
61…90,002204381,C,1,711,A,63,1
61…90,002204311,C,3,700,C,63,1
61…90,002204231,C,3,701,C,63,1
61…90,002204321,C,3,700,C+,63,1
61…90,001420112,C,3,701,C+,63,1
61…90,002204271,C,3,701,D,63,1
61…90,002204351,C,3,700,D+,63,1
61…91,002204381,C,1,711,B+,63,1
61…91,001355209,C,3,700,C,63,1
61…91,002204311,C,3,700,C,63,1
61…91,002204271,C,3,701,C,63,1
61…91,002204224,C,1,711,C+,63,1
61…91,002204351,C,3,700,C+,63,1
61…91,002204231,C,3,701,D,63,1
61…91,002204321,C,3,700,D+,63,1
61…92,002204224,C,1,711,A,63,1
61…92,001175112,C,1,711,A,63,1
61…92,002204381,C,1,711,B,63,1
61…92,002204321,C,3,700,C,63,1
61…92,001420112,C,3,701,C,63,1
61…92,001355304,C,3,700,C+,63,1
61…92,002204231,C,3,701,D,63,1
61…92,002204311,C,3,700,D+,63,1
61…92,002204351,C,3,700,F,63,1
61…93,002204321,C,3,700,C,63,1
61…93,001371111,C,1,701,C,63,1
61…93,001355103,C,3,713,C+,63,1
61…93,002204381,C,1,711,C+,63,1
61…93,002204351,C,3,700,D+,63,1
61…93,002204271,C,3,701,F,63,1
61…93,002204221,C,3,700,F,63,1
61…93,002204231,C,3,701,W,63,1
61…94,001420112,C,3,701,C,63,1
61…94,002204351,C,3,700,C,63,1
61…94,001355103,C,3,714,C,63,1
61…94,002204381,C,1,711,C+,63,1
61…94,002204271,C,3,701,D,63,1
61…94,002204321,C,3,700,D+,63,1
61…94,002204311,C,3,700,D+,63,1
61…94,002204231,C,3,701,F,63,1
61…95,002204321,C,3,700,A,63,1
61…95,003751111,C,3,700,A,63,1
61…95,001175112,C,1,711,A,63,1
61…95,001200101,C,3,700,A,63,1
61…95,002204311,C,3,700,B,63,1
61…95,002204224,C,1,711,B+,63,1
61…95,002204381,C,1,712,B+,63,1
61…95,002204361,C,3,700,C,63,1
61…95,002204351,C,3,700,C+,63,1
61…96,002204224,C,1,711,B,63,1
61…96,002204321,C,3,700,B+,63,1
61…96,001420112,C,3,701,C,63,1
61…96,002204351,C,3,700,C,63,1
61…96,002204311,C,3,700,C+,63,1
61…96,002204381,C,1,711,C+,63,1
61…96,002204231,C,3,701,C+,63,1
61…97,002204381,C,1,712,A,63,1
61…97,002204224,C,1,711,B+,63,1
61…97,001355209,C,3,700,C,63,1
61…97,002204271,C,3,701,C,63,1
61…97,002204321,C,3,700,C+,63,1
61…97,002204311,C,3,700,C+,63,1
61…97,002204361,C,3,700,D,63,1
61…97,002204351,C,3,700,D+,63,1
61…98,001999213,C,3,701,A,63,1
61…98,001200101,C,3,700,A,63,1
61…98,002204381,C,1,712,B+,63,1
61…98,002204311,C,3,700,C,63,1
61…98,002204351,C,3,700,C,63,1
